artist_id	artist_name	genre
155805299	Keith Sweat	R&B
-639845564	Jason Mraz	Pop
-525237802	Stone Temple Pilots	Rock
-971408860	Shinedown	Rock
-543041687	The Notorious B.I.G.	Electronic
68414573	Matchbox Twenty	Pop
-395946766	Halestorm	Rock
733350162	Flo Rida	Rap
1568542875	Mayday Parade	Rock
1654889655	Zac Brown Band	Country
399840868	T.I.	Rap
1778133477	Musiq (Soulchild)	R&B
1253559765	Panic! At the Disco	Rock
1340117852	Kid Rock	Rock
2132952296	Van Halen	Rock
951504440	Grateful Dead	Rock
-1689176278	Enya	New Age
1788421388	Travis Tritt	Country
-101510032	Simon & Garfunkel	Folk
1797740142	Eagles	Pop
-143613184	Bee Gees	R&B
1096398838	Deadmau5	Electronic
2002465997	Calvin Harris	Electronic
-78977237	All Time Low	Rock
1172613277	Arctic Monkeys	Rock
1897647951	Ricardo Arjona	Latin
1544985150	Asking Alexandria	Rock
-1447294640	Alabama	Country
-1710076408	Alan Jackson	Country
1573236688	Stevie Ray Vaughan	Blues
-949008177	Ozzy Osbourne	Rock
-1815673575	Foo Fighters	Rock
-427127284	David Allan Coe	Country
-1140815209	Seether	Rock
216093205	The Offspring	Pop
1673636666	Bring Me the Horizon	Rock
1877286595	A Day to Remember	Rock
-672901644	Pierce the Veil	Rock
-560706121	AC/DC	Rock
1520365975	Birdy	NA
1452967155	Bob Seger	Rock
-117213523	Whitney Houston	R&B
1035952167	Mudvayne	Pop
-713358045	Maxwell	R&B
1050238683	TLC	R&B
-1251041628	Lauryn Hill	Rap
886317849	Sade	R&B
1262083985	Beyoncé	R&B
-1979098924	Miranda Lambert	Country
-583094692	Mark Ronson	Pop
-323185082	Carrie Underwood	Country
690649060	System of a Down	Pop
-1723377405	Sara Bareilles	Pop
328745281	Casting Crowns	Religious
739227525	Rage Against the Machine	Pop
-1156427095	Brooks & Dunn	Country
-1814916446	T-Pain	R&B
-524004943	Kenny Chesney	Country
462514928	Brad Paisley	Country
-737803799	Evanescence	Rock
1732225385	MercyMe	Religious
-468742107	Third Day	Religious
1675674205	Train	Pop
-1628822378	Kari Jobe	Religious
1578552618	Camila	Latin
-461113281	Kirk Franklin	Religious
470469545	Kirk Franklin & the Family	Religious
1349246496	Donell Jones	R&B
-1286210202	Fred Hammond	Religious
-1956255782	Tyrese	R&B
832278001	Bob Seger & The Silver Bullet Band	Rock
-556829954	YG	NA
1602714482	Marvin Sapp	Religious
-1112071755	Tim McGraw	Country
-1700034567	The Band Perry	Country
-52135024	Creed	Rock
-220759473	Chris Young	Country
1374126171	Monica	Rock
1325232091	Fantasia	R&B
194628090	The Black Eyed Peas	Rap
-1849471059	Kings of Leon	Rock
420124826	Donnie McClurkin	Religious
1524503758	Cage the Elephant	NA
-1106729641	Ke$ha	Pop
-1147161525	Jake Owen	Country
1456511052	Mötley Crüe	Rock
-2037404370	Destiny's Child	R&B
1774441489	Aaliyah	R&B
-943271227	Hank Williams, Jr.	Country
1108989921	Juicy J	Rap
-463855933	Charlie Wilson	R&B
1974367900	Hezekiah Walker	Religious
1008370217	Jazmine Sullivan	R&B
771491253	The Script	Pop
74217871	Adele	Pop
-316786085	DJ Khaled	Rap
-604500857	Banda Sinaloense MS de Sergio Lizárraga	Latin
-1913496399	Vicente Fernández	Latin
1073277075	Prince Royce	International
-1397301306	Jessie J	Pop
1697917692	Maná	Latin
885766654	Colt Ford	Country
1437042163	Brantley Gilbert	Country
-753898177	French Montana	Rap
-167513356	Sleeping with Sirens	Rock
-1465038886	Mozart & Beethoven	Classical
-2144783034	Future	Rap
-1657186807	G-Eazy	Rap
1435432746	Aaron Lewis	Country
1781427672	Big Smo	Country
-10631636	Bruno Mars	Pop
68303518	Jawga Boyz	Rap
-1332141149	Tyga	Rap
1960279406	Rittz	Rap
-879426336	Jason Aldean	Country
280731318	Volbeat	Rock
-605596451	Black Veil Brides	Rock
1549111871	Farruko	Latin
-1955759980	Nicki Minaj	Rap
-1808350836	The Pretty Reckless	Rock
-1417891800	Mumford & Sons	Rock
-321246152	Christina Perri	Pop
-1035197681	MGK	Rap
-1756818576	Jesus Culture	Religious
-1247336339	tobyMac	Religious
520574683	AWOLNATION	Electronic
-1275752088	Miguel	R&B
-1309764709	Yelawolf	Rap
-617858100	Kevin Gates	Rap
568891542	Avicii	Electronic
-1130920189	Big Sean	Rap
1676547458	Ed Sheeran	Pop
1432739757	My Darkest Days	Rock
306888266	Jason Derulo	Pop
-1446343888	Brett Eldredge	Country
-1232694352	Tye Tribbett	Religious
282089285	Tyler Farr	Country
-948521002	Fun.	NA
-1175751129	Ellie Goulding	Pop
2089086973	The Lumineers	Country
-215894565	Chase Rice	Country
-2045132562	Sam Smith	Pop
699456086	Kendrick Lamar	Rap
1531492163	Andy Grammer	Pop
1840991528	Tamela Mann	Religious
-1288848091	Calibre 50	Latin
1253928717	The Lacs	Rap
-1001987796	Macklemore & Ryan Lewis	Rap
1200121136	Walk the Moon	NA
-254935008	Skrillex	Electronic
-851612127	Florida Georgia Line	Country
833032272	Hunter Hayes	Country
-1019349679	Twenty One Pilots	Pop
-1093418157	ScHoolboy Q	Rap
929909094	Meek Mill	Rap
-664335949	Meghan Trainor	Pop
-998665905	Mac Miller	Rap
-795774759	Zedd	Electronic
-502051807	Imagine Dragons	NA
-277500804	Romeo Santos	Latin
-334816349	Kid Ink	Rap
559103089	Falling in Reverse	Rock
83330247	Julión Álvarez y Su Norteño Banda	Latin
-1902188267	J Balvin	Latin
-756001077	Yo Gotti	Rap
-1206764621	Pistol Annies	Country
-1037641544	Cher Lloyd	Pop
-1773628396	Garth Brooks	Country
-738334617	Daryl Hall & John Oates	R&B
1161427907	Childish Gambino	Rap
1118496129	B.o.B	NA
1654695150	Pentatonix	Electronic
1354177406	Bastille	Rock
-1158434130	Tom Petty & the Heartbreakers	Rock
-1402633152	Lee Brice	Country
-376923778	A$AP Rocky	Rap
-782155822	2 Chainz	Rap
1437038771	Ariana Grande	R&B
331534818	Of Monsters and Men	NA
1455692625	William Murphy	Religious
512485110	One Direction	Pop
-514885709	Little Mix	Pop
692454121	Lana Del Rey	Pop
-535983805	Dustin Lynch	Country
643908332	Thomas Rhett	Country
-478867330	The Piano Guys	Pop
467553714	K Camp	Rap
-1121308644	The Weeknd	R&B
-670249095	J. Cole	Rap
-1836569232	Phillip Phillips	Pop
1207961949	Iggy Azalea	Rap
-1199350963	Speaker Knockerz	Rap
794967664	Lindsey Stirling	Classical
822649929	Alt-J	NA
1131850966	August Alsina	R&B
-137883247	Kacey Musgraves	Country
1785779857	SoMo	R&B
-225107429	Sevyn Streeter	R&B
777792988	Tasha Cobbs	Religious
-2027002895	RaeLynn	Country
1396373093	Tamar Braxton	R&B
1202978564	MKTO	Pop
-351483094	Ty Dolla $ign	Rap
160080099	Rich Gang	Rap
2059111851	Lorde	Pop
1208025173	Cole Swindell	Country
-385654536	Rich Homie Quan	Rap
562505621	Becky G	Rap
1675579181	Vance Joy	NA
934407763	PARTYNEXTDOOR	R&B
1817652272	Fifth Harmony	Pop
262486490	Sam Hunt	Country
-1244847002	George Ezra	NA
1444085079	Migos	Rap
-1715723881	Hozier	Folk
949513657	Pharrell Williams	Rap
-925716282	Tove Lo	Pop
2146840967	Rixton	Pop
76835135	5 Seconds Of Summer	Pop
-2135213543	Thirty Seconds to Mars	Rock
359643250	Plan B	Latin
-120593099	K. Michelle	R&B
188143754	O.T. Genasis	Rap
-48578844	I Love Makonnen	Rap
-1847442582	Boosie Badazz	Rap
964804698	Milky Chance	NA
2083046456	Rae Sremmurd	Rap
1224575761	Jhené Aiko	R&B
-679173714	Gerardo Ortíz	Latin
1254746843	Shawn Mendes	Pop
-339813418	Nick Jonas	Pop
-590382535	Bobby Shmurda	Rap
-1071345339	Empire Cast	NA
944560893	Chris Brown & Tyga	NA
209419341	Fetty Wap	NA
-1356362614	Rich Homie Quan, Young Thug	NA
-698172247	Dej Loaf	NA
